

 ----- Approach monitoring ----- 
  1/571:   0,   0,  0034599119_1.fit,   1X1,   2007 FEB 24 05:00:01,   0.003,          --,   6.7 deg, IO       
412/571:   7,  73,  0035282590_1.fit,   4X4,   2007 MAR 04 02:51:07,   9.967,      8m  0s,   158.7 deg, JUPITER  
413/571:   7,  74,  0035282600_1.fit,   4X4,   2007 MAR 04 02:51:17,   9.967,          9s,   158.7 deg, JUPITER  
414/571:   7,  75,  0035282610_1.fit,   4X4,   2007 MAR 04 02:51:27,   9.967,         10s,   158.7 deg, JUPITER  
415/571:   7,  76,  0035282690_1.fit,   4X4,   2007 MAR 04 02:52:47,   9.967,      1m 19s,   158.7 deg, JUPITER  
416/571:   7,  77,  0035282700_1.fit,   4X4,   2007 MAR 04 02:52:57,   9.967,          9s,   158.7 deg, JUPITER  
417/571:   7,  78,  0035282710_1.fit,   4X4,   2007 MAR 04 02:53:07,   9.967,         10s,   158.7 deg, JUPITER  
418/571:   7,  79,  0035282790_1.fit,   4X4,   2007 MAR 04 02:54:27,   9.967,      1m 19s,   158.7 deg, JUPITER  
419/571:   7,  80,  0035282800_1.fit,   4X4,   2007 MAR 04 02:54:37,   9.967,          9s,   158.7 deg, JUPITER  
420/571:   7,  81,  0035282810_1.fit,   4X4,   2007 MAR 04 02:54:47,   9.967,         10s,   158.7 deg, JUPITER  
421/571:   7,  82,  0035282890_1.fit,   4X4,   2007 MAR 04 02:56:07,   9.967,      1m 19s,   158.7 deg, JUPITER  
422/571:   7,  83,  0035282900_1.fit,   4X4,   2007 MAR 04 02:56:17,   9.967,          9s,   158.7 deg, JUPITER  
423/571:   7,  84,  0035282910_1.fit,   4X4,   2007 MAR 04 02:56:27,   9.967,         10s,   158.7 deg, JUPITER  
424/571:   7,  85,  0035282990_1.fit,   4X4,   2007 MAR 04 02:57:47,   9.967,      1m 19s,   158.7 deg, JUPITER  
425/571:   7,  86,  0035283000_1.fit,   4X4,   2007 MAR 04 02:57:57,   9.967,         10s,   158.7 deg, JUPITER  
426/571:   7,  87,  0035283010_1.fit,   4X4,   2007 MAR 04 02:58:07,   9.967,          9s,   158.7 deg, JUPITER  
427/571:   7,  88,  0035283090_1.fit,   4X4,   2007 MAR 04 02:59:27,   9.967,      1m 19s,   158.7 deg, JUPITER  
428/571:   7,  89,  0035283100_1.fit,   4X4,   2007 MAR 04 02:59:37,   9.967,         10s,   158.7 deg, JUPITER  
429/571:   7,  90,  0035283110_1.fit,   4X4,   2007 MAR 04 02:59:47,   9.967,          9s,   158.7 deg, JUPITER  
430/571:   7,  91,  0035283483_1.fit,   1X1,   2007 MAR 04 03:06:04,   2.967,      6m 16s,   158.7 deg, JUPITER  
431/571:   7,  92,  0035283486_1.fit,   1X1,   2007 MAR 04 03:06:07,   2.967,          3s,   158.7 deg, JUPITER  
432/571:   7,  93,  0035283489_1.fit,   1X1,   2007 MAR 04 03:06:10,   2.967,          2s,   158.7 deg, JUPITER  
433/571:   7,  94,  0035284023_1.fit,   1X1,   2007 MAR 04 03:15:04,   2.967,      8m 53s,   158.8 deg, JUPITER  
434/571:   7,  95,  0035284026_1.fit,   1X1,   2007 MAR 04 03:15:07,   2.967,          3s,   158.8 deg, JUPITER  
435/571:   7,  96,  0035284029_1.fit,   1X1,   2007 MAR 04 03:15:10,   2.967,          2s,   158.8 deg, JUPITER  
436/571:   7,  97,  0035284330_1.fit,   4X4,   2007 MAR 04 03:20:07,   9.967,      4m 57s,   158.8 deg, JUPITER  
437/571:   7,  98,  0035284340_1.fit,   4X4,   2007 MAR 04 03:20:17,   9.967,          9s,   158.8 deg, JUPITER  
438/571:   7,  99,  0035284350_1.fit,   4X4,   2007 MAR 04 03:20:27,   9.967,         10s,   158.8 deg, JUPITER  
439/571:   7, 100,  0035284430_1.fit,   4X4,   2007 MAR 04 03:21:47,   9.967,      1m 19s,   158.8 deg, JUPITER  
440/571:   7, 101,  0035284440_1.fit,   4X4,   2007 MAR 04 03:21:57,   9.967,          9s,   158.8 deg, JUPITER  
441/571:   7, 102,  0035284450_1.fit,   4X4,   2007 MAR 04 03:22:07,   9.967,         10s,   158.8 deg, JUPITER  
442/571:   7, 103,  0035284530_1.fit,   4X4,   2007 MAR 04 03:23:27,   9.967,      1m 19s,   158.8 deg, JUPITER  
443/571:   7, 104,  0035284540_1.fit,   4X4,   2007 MAR 04 03:23:37,   9.967,          9s,   158.8 deg, JUPITER  
444/571:   7, 105,  0035284550_1.fit,   4X4,   2007 MAR 04 03:23:47,   9.967,         10s,   158.8 deg, JUPITER  
445/571:   7, 106,  0035284630_1.fit,   4X4,   2007 MAR 04 03:25:07,   9.967,      1m 19s,   158.8 deg, JUPITER  
446/571:   7, 107,  0035284640_1.fit,   4X4,   2007 MAR 04 03:25:17,   9.967,          9s,   158.8 deg, JUPITER  
447/571:   7, 108,  0035284650_1.fit,   4X4,   2007 MAR 04 03:25:27,   9.967,         10s,   158.8 deg, JUPITER  
448/571:   7, 109,  0035284730_1.fit,   4X4,   2007 MAR 04 03:26:47,   9.967,      1m 19s,   158.8 deg, JUPITER  
449/571:   7, 110,  0035284740_1.fit,   4X4,   2007 MAR 04 03:26:57,   9.967,          9s,   158.8 deg, JUPITER  
450/571:   7, 111,  0035284750_1.fit,   4X4,   2007 MAR 04 03:27:07,   9.967,         10s,   158.8 deg, JUPITER  
451/571:   7, 112,  0035284830_1.fit,   4X4,   2007 MAR 04 03:28:27,   9.967,      1m 19s,   158.8 deg, JUPITER  
452/571:   7, 113,  0035284840_1.fit,   4X4,   2007 MAR 04 03:28:37,   9.967,         10s,   158.8 deg, JUPITER  
453/571:   7, 114,  0035284850_1.fit,   4X4,   2007 MAR 04 03:28:47,   9.967,          9s,   158.8 deg, JUPITER  
454/571:   7, 115,  0035285290_1.fit,   4X4,   2007 MAR 04 03:36:07,   9.967,      7m 20s,   158.8 deg, JUPITER  
455/571:   7, 116,  0035285300_1.fit,   4X4,   2007 MAR 04 03:36:17,   9.967,          9s,   158.8 deg, JUPITER  
456/571:   7, 117,  0035285310_1.fit,   4X4,   2007 MAR 04 03:36:27,   9.967,         10s,   158.8 deg, JUPITER  
457/571:   7, 118,  0035285390_1.fit,   4X4,   2007 MAR 04 03:37:47,   9.967,      1m 19s,   158.8 deg, JUPITER  
458/571:   7, 119,  0035285400_1.fit,   4X4,   2007 MAR 04 03:37:57,   9.967,          9s,   158.8 deg, JUPITER  
459/571:   7, 120,  0035285410_1.fit,   4X4,   2007 MAR 04 03:38:07,   9.967,         10s,   158.8 deg, JUPITER  

 ----- Jupiter ring - search for embedded moons ----- 
460/571:   8,   0,  0034600923_1.fit,   1X1,   2007 FEB 24 05:30:03,   4.000,          --,   6.8 deg, JUPITER  
461/571:   8,   1,  0034601523_1.fit,   1X1,   2007 FEB 24 05:40:03,   4.000,     10m  0s,   6.9 deg, JUPITER  
462/571:   8,   2,  0034602123_1.fit,   1X1,   2007 FEB 24 05:50:03,   4.000,      9m 59s,   6.9 deg, JUPITER  
463/571:   8,   3,  0034602723_1.fit,   1X1,   2007 FEB 24 06:00:03,   4.000,     10m  0s,   6.9 deg, JUPITER  
464/571:   8,   4,  0034603323_1.fit,   1X1,   2007 FEB 24 06:10:03,   4.000,      9m 59s,   7.0 deg, JUPITER  
465/571:   8,   5,  0034603923_1.fit,   1X1,   2007 FEB 24 06:20:03,   4.000,     10m  0s,   7.0 deg, JUPITER  
466/571:   8,   6,  0034604523_1.fit,   1X1,   2007 FEB 24 06:30:03,   4.000,      9m 59s,   7.0 deg, JUPITER  
467/571:   8,   7,  0034605123_1.fit,   1X1,   2007 FEB 24 06:40:03,   4.000,     10m  0s,   7.1 deg, JUPITER  
468/571:   8,   8,  0034605723_1.fit,   1X1,   2007 FEB 24 06:50:03,   4.000,      9m 59s,   7.1 deg, JUPITER  
469/571:   8,   9,  0034606323_1.fit,   1X1,   2007 FEB 24 07:00:03,   4.000,      9m 59s,   7.1 deg, JUPITER  
470/571:   8,  10,  0034606923_1.fit,   1X1,   2007 FEB 24 07:10:03,   4.000,     10m  0s,   7.1 deg, JUPITER  
471/571:   8,  11,  0034607523_1.fit,   1X1,   2007 FEB 24 07:20:03,   4.000,      9m 59s,   7.2 deg, JUPITER  
472/571:   8,  12,  0034608123_1.fit,   1X1,   2007 FEB 24 07:30:03,   4.000,     10m  0s,   7.2 deg, JUPITER  
473/571:   8,  13,  0034608723_1.fit,   1X1,   2007 FEB 24 07:40:03,   4.000,      9m 59s,   7.2 deg, JUPITER  
474/571:   8,  14,  0034609323_1.fit,   1X1,   2007 FEB 24 07:50:03,   4.000,     10m  0s,   7.3 deg, JUPITER  
475/571:   8,  15,  0034609923_1.fit,   1X1,   2007 FEB 24 08:00:03,   4.000,      9m 59s,   7.3 deg, JUPITER  
476/571:   8,  16,  0034610523_1.fit,   1X1,   2007 FEB 24 08:10:03,   4.000,     10m  0s,   7.3 deg, JUPITER  
477/571:   8,  17,  0034611123_1.fit,   1X1,   2007 FEB 24 08:20:03,   4.000,      9m 59s,   7.4 deg, JUPITER  
478/571:   8,  18,  0034611723_1.fit,   1X1,   2007 FEB 24 08:30:03,   4.000,      9m 59s,   7.4 deg, JUPITER  
479/571:   8,  19,  0034612323_1.fit,   1X1,   2007 FEB 24 08:40:03,   4.000,     10m  0s,   7.4 deg, JUPITER  
480/571:   8,  20,  0034612923_1.fit,   1X1,   2007 FEB 24 08:50:03,   4.000,      9m 59s,   7.5 deg, JUPITER  
481/571:   8,  21,  0034613523_1.fit,   1X1,   2007 FEB 24 09:00:03,   4.000,     10m  0s,   7.5 deg, JUPITER  
482/571:   8,  22,  0034614123_1.fit,   1X1,   2007 FEB 24 09:10:03,   4.000,      9m 59s,   7.5 deg, JUPITER  
483/571:   8,  23,  0034614723_1.fit,   1X1,   2007 FEB 24 09:20:03,   4.000,     10m  0s,   7.6 deg, JUPITER  
484/571:   8,  24,  0034615323_1.fit,   1X1,   2007 FEB 24 09:30:03,   4.000,      9m 59s,   7.6 deg, JUPITER  
485/571:   8,  25,  0034615923_1.fit,   1X1,   2007 FEB 24 09:40:03,   4.000,     10m  0s,   7.6 deg, JUPITER  
486/571:   8,  26,  0034616523_1.fit,   1X1,   2007 FEB 24 09:50:03,   4.000,      9m 59s,   7.7 deg, JUPITER  
487/571:   8,  27,  0034617123_1.fit,   1X1,   2007 FEB 24 10:00:03,   4.000,      9m 59s,   7.7 deg, JUPITER  
488/571:   8,  28,  0034617723_1.fit,   1X1,   2007 FEB 24 10:10:03,   4.000,     10m  0s,   7.7 deg, JUPITER  
489/571:   8,  29,  0034618323_1.fit,   1X1,   2007 FEB 24 10:20:03,   4.000,      9m 59s,   7.8 deg, JUPITER  
490/571:   8,  30,  0034618923_1.fit,   1X1,   2007 FEB 24 10:30:03,   4.000,     10m  0s,   7.8 deg, JUPITER  
491/571:   8,  31,  0034619523_1.fit,   1X1,   2007 FEB 24 10:40:03,   4.000,      9m 59s,   7.8 deg, JUPITER  
492/571:   8,  32,  0034620123_1.fit,   1X1,   2007 FEB 24 10:50:03,   4.000,     10m  0s,   7.9 deg, JUPITER  
493/571:   8,  33,  0034620723_1.fit,   1X1,   2007 FEB 24 11:00:03,   4.000,      9m 59s,   7.9 deg, JUPITER  
494/571:   8,  34,  0034621323_1.fit,   1X1,   2007 FEB 24 11:10:03,   4.000,     10m  0s,   7.9 deg, JUPITER  
495/571:   8,  35,  0034621923_1.fit,   1X1,   2007 FEB 24 11:20:03,   4.000,      9m 59s,   8.0 deg, JUPITER  
496/571:   8,  36,  0034622523_1.fit,   1X1,   2007 FEB 24 11:30:03,   4.000,      9m 59s,   8.0 deg, JUPITER  
497/571:   8,  37,  0034623123_4.fit,   1X1,   2007 FEB 24 11:40:03,   4.000,     10m  0s,   8.1 deg, JUPITER  
498/571:   8,  38,  0034623723_1.fit,   1X1,   2007 FEB 24 11:50:03,   4.000,      9m 59s,   8.1 deg, JUPITER  
499/571:   8,  39,  0034624323_1.fit,   1X1,   2007 FEB 24 12:00:03,   4.000,     10m  0s,   8.1 deg, JUPITER  
500/571:   8,  40,  0034624923_1.fit,   1X1,   2007 FEB 24 12:10:03,   4.000,      9m 59s,   8.2 deg, JUPITER  
501/571:   8,  41,  0034625523_1.fit,   1X1,   2007 FEB 24 12:20:03,   4.000,     10m  0s,   8.2 deg, JUPITER  
502/571:   8,  42,  0034626123_1.fit,   1X1,   2007 FEB 24 12:30:03,   4.000,      9m 59s,   8.2 deg, JUPITER  
503/571:   8,  43,  0034626723_1.fit,   1X1,   2007 FEB 24 12:40:03,   4.000,     10m  0s,   8.3 deg, JUPITER  
504/571:   8,  44,  0034627323_1.fit,   1X1,   2007 FEB 24 12:50:03,   4.000,      9m 59s,   8.3 deg, JUPITER  
505/571:   8,  45,  0034627923_1.fit,   1X1,   2007 FEB 24 13:00:03,   4.000,      9m 59s,   8.3 deg, JUPITER  
506/571:   8,  46,  0034628523_1.fit,   1X1,   2007 FEB 24 13:10:03,   4.000,     10m  0s,   8.4 deg, JUPITER  
507/571:   8,  47,  0034629123_1.fit,   1X1,   2007 FEB 24 13:20:03,   4.000,      9m 59s,   8.4 deg, JUPITER  
508/571:   8,  48,  0034629723_1.fit,   1X1,   2007 FEB 24 13:30:03,   4.000,     10m  0s,   8.4 deg, JUPITER  
509/571:   8,  49,  0034742163_1.fit,   1X1,   2007 FEB 25 20:44:03,   4.000, 31h 14m  0s,   18.5 deg, JUPITER  
510/571:   8,  50,  0034742643_1.fit,   1X1,   2007 FEB 25 20:52:03,   4.000,      7m 59s,   18.5 deg, JUPITER  
511/571:   8,  51,  0034743123_1.fit,   1X1,   2007 FEB 25 21:00:03,   4.000,      8m  0s,   18.6 deg, JUPITER  
512/571:   8,  52,  0034743603_1.fit,   1X1,   2007 FEB 25 21:08:03,   4.000,      7m 59s,   18.7 deg, JUPITER  
513/571:   8,  53,  0034744083_1.fit,   1X1,   2007 FEB 25 21:16:03,   4.000,      8m  0s,   18.7 deg, JUPITER  
514/571:   8,  54,  0034750923_1.fit,   1X1,   2007 FEB 25 23:10:03,   4.000,  1h 54m  0s,   19.6 deg, JUPITER  
515/571:   8,  55,  0034751403_1.fit,   1X1,   2007 FEB 25 23:18:03,   4.000,      7m 59s,   19.7 deg, JUPITER  
516/571:   8,  56,  0034751883_1.fit,   1X1,   2007 FEB 25 23:26:03,   4.000,      8m  0s,   19.8 deg, JUPITER  
517/571:   8,  57,  0034752363_1.fit,   1X1,   2007 FEB 25 23:34:03,   4.000,      7m 59s,   19.8 deg, JUPITER  
518/571:   8,  58,  0034752843_1.fit,   1X1,   2007 FEB 25 23:42:03,   4.000,      8m  0s,   19.9 deg, JUPITER  
519/571:   8,  59,  0034753323_1.fit,   1X1,   2007 FEB 25 23:50:03,   4.000,      7m 59s,   20.0 deg, JUPITER  
520/571:   8,  60,  0034753803_1.fit,   1X1,   2007 FEB 25 23:58:03,   4.000,      8m  0s,   20.0 deg, JUPITER  
521/571:   8,  61,  0034754283_1.fit,   1X1,   2007 FEB 26 00:06:03,   4.000,      7m 59s,   20.1 deg, JUPITER  
522/571:   8,  62,  0034754763_1.fit,   1X1,   2007 FEB 26 00:14:03,   4.000,      8m  0s,   20.2 deg, JUPITER  
523/571:   8,  63,  0034755243_1.fit,   1X1,   2007 FEB 26 00:22:03,   4.000,      8m  0s,   20.2 deg, JUPITER  
524/571:   8,  64,  0034755723_1.fit,   1X1,   2007 FEB 26 00:30:03,   4.000,      7m 59s,   20.3 deg, JUPITER  
525/571:   8,  65,  0034756203_1.fit,   1X1,   2007 FEB 26 00:38:03,   4.000,      8m  0s,   20.4 deg, JUPITER  
526/571:   8,  66,  0034756683_1.fit,   1X1,   2007 FEB 26 00:46:03,   4.000,      7m 59s,   20.4 deg, JUPITER  
527/571:   8,  67,  0034757163_1.fit,   1X1,   2007 FEB 26 00:54:03,   4.000,      8m  0s,   20.5 deg, JUPITER  
528/571:   8,  68,  0034757643_1.fit,   1X1,   2007 FEB 26 01:02:03,   4.000,      7m 59s,   20.6 deg, JUPITER  
529/571:   8,  69,  0034758123_1.fit,   1X1,   2007 FEB 26 01:10:03,   4.000,      8m  0s,   20.6 deg, JUPITER  
530/571:   8,  70,  0034758603_1.fit,   1X1,   2007 FEB 26 01:18:03,   4.000,      7m 59s,   20.7 deg, JUPITER  
531/571:   8,  71,  0034759083_1.fit,   1X1,   2007 FEB 26 01:26:03,   4.000,      8m  0s,   20.8 deg, JUPITER  
532/571:   8,  72,  0034759563_1.fit,   1X1,   2007 FEB 26 01:34:03,   4.000,      8m  0s,   20.9 deg, JUPITER  
533/571:   8,  73,  0034760043_1.fit,   1X1,   2007 FEB 26 01:42:03,   4.000,      7m 59s,   20.9 deg, JUPITER  
534/571:   8,  74,  0034760523_1.fit,   1X1,   2007 FEB 26 01:50:03,   4.000,      8m  0s,   21.0 deg, JUPITER  
535/571:   8,  75,  0034761003_1.fit,   1X1,   2007 FEB 26 01:58:03,   4.000,      7m 59s,   21.1 deg, JUPITER  
536/571:   8,  76,  0034761483_1.fit,   1X1,   2007 FEB 26 02:06:03,   4.000,      8m  0s,   21.1 deg, JUPITER  
537/571:   8,  77,  0034761963_1.fit,   1X1,   2007 FEB 26 02:14:03,   4.000,      7m 59s,   21.2 deg, JUPITER  
538/571:   8,  78,  0034762443_1.fit,   1X1,   2007 FEB 26 02:22:03,   4.000,      8m  0s,   21.3 deg, JUPITER  
539/571:   8,  79,  0034762923_1.fit,   1X1,   2007 FEB 26 02:30:03,   4.000,      7m 59s,   21.3 deg, JUPITER  
540/571:   8,  80,  0034763403_1.fit,   1X1,   2007 FEB 26 02:38:03,   4.000,      8m  0s,   21.4 deg, JUPITER  
541/571:   8,  81,  0034763883_1.fit,   1X1,   2007 FEB 26 02:46:03,   4.000,      8m  0s,   21.5 deg, JUPITER  
542/571:   8,  82,  0034764363_1.fit,   1X1,   2007 FEB 26 02:54:03,   4.000,      7m 59s,   21.6 deg, JUPITER  
543/571:   8,  83,  0034764843_1.fit,   1X1,   2007 FEB 26 03:02:03,   4.000,      8m  0s,   21.6 deg, JUPITER  
544/571:   8,  84,  0034765323_1.fit,   1X1,   2007 FEB 26 03:10:03,   4.000,      7m 59s,   21.7 deg, JUPITER  
545/571:   8,  85,  0034765803_1.fit,   1X1,   2007 FEB 26 03:18:03,   4.000,      8m  0s,   21.8 deg, JUPITER  
546/571:   8,  86,  0034766283_1.fit,   1X1,   2007 FEB 26 03:26:03,   4.000,      7m 59s,   21.9 deg, JUPITER  
547/571:   8,  87,  0034766763_1.fit,   1X1,   2007 FEB 26 03:34:03,   4.000,      8m  0s,   21.9 deg, JUPITER  
548/571:   8,  88,  0034767243_1.fit,   1X1,   2007 FEB 26 03:42:03,   4.000,      7m 59s,   22.0 deg, JUPITER  
549/571:   8,  89,  0034767723_1.fit,   1X1,   2007 FEB 26 03:50:03,   4.000,      8m  0s,   22.1 deg, JUPITER  
550/571:   8,  90,  0034768203_1.fit,   1X1,   2007 FEB 26 03:58:03,   4.000,      8m  0s,   22.2 deg, JUPITER  
551/571:   8,  91,  0034770063_1.fit,   1X1,   2007 FEB 26 04:29:03,   4.000,     30m 59s,   22.4 deg, JUPITER  
552/571:   8,  92,  0034770543_1.fit,   1X1,   2007 FEB 26 04:37:03,   4.000,      8m  0s,   22.5 deg, JUPITER  
553/571:   8,  93,  0034771023_1.fit,   1X1,   2007 FEB 26 04:45:03,   4.000,      7m 59s,   22.6 deg, JUPITER  
554/571:   8,  94,  0034771503_1.fit,   1X1,   2007 FEB 26 04:53:03,   4.000,      8m  0s,   22.7 deg, JUPITER  
555/571:   8,  95,  0034771983_1.fit,   1X1,   2007 FEB 26 05:01:03,   4.000,      8m  0s,   22.8 deg, JUPITER  
556/571:   8,  96,  0034772463_1.fit,   1X1,   2007 FEB 26 05:09:03,   4.000,      7m 59s,   22.8 deg, JUPITER  
557/571:   8,  97,  0034772943_1.fit,   1X1,   2007 FEB 26 05:17:03,   4.000,      8m  0s,   22.9 deg, JUPITER  
558/571:   8,  98,  0034773423_1.fit,   1X1,   2007 FEB 26 05:25:03,   4.000,      7m 59s,   23.0 deg, JUPITER  
559/571:   8,  99,  0034773903_1.fit,   1X1,   2007 FEB 26 05:33:03,   4.000,      8m  0s,   23.1 deg, JUPITER  
560/571:   8, 100,  0034774383_1.fit,   1X1,   2007 FEB 26 05:41:03,   4.000,      7m 59s,   23.1 deg, JUPITER  
561/571:   8, 101,  0034774863_1.fit,   1X1,   2007 FEB 26 05:49:03,   4.000,      8m  0s,   23.2 deg, JUPITER  
562/571:   8, 102,  0034775343_1.fit,   1X1,   2007 FEB 26 05:57:03,   4.000,      7m 59s,   23.3 deg, JUPITER  
563/571:   8, 103,  0034775823_1.fit,   1X1,   2007 FEB 26 06:05:03,   4.000,      8m  0s,   23.4 deg, JUPITER  
564/571:   8, 104,  0034776303_1.fit,   1X1,   2007 FEB 26 06:13:03,   4.000,      8m  0s,   23.5 deg, JUPITER  
565/571:   8, 105,  0034776783_1.fit,   1X1,   2007 FEB 26 06:21:03,   4.000,      7m 59s,   23.5 deg, JUPITER  
566/571:   8, 106,  0034777263_1.fit,   1X1,   2007 FEB 26 06:29:03,   4.000,      8m  0s,   23.6 deg, JUPITER  
567/571:   8, 107,  0034777743_1.fit,   1X1,   2007 FEB 26 06:37:03,   4.000,      7m 59s,   23.7 deg, JUPITER  
568/571:   8, 108,  0034778223_1.fit,   1X1,   2007 FEB 26 06:45:03,   4.000,      8m  0s,   23.8 deg, JUPITER  
569/571:   8, 109,  0034778703_1.fit,   1X1,   2007 FEB 26 06:53:03,   4.000,      7m 59s,   23.9 deg, JUPITER  
570/571:   8, 110,  0034779183_1.fit,   1X1,   2007 FEB 26 07:01:03,   4.000,      8m  0s,   23.9 deg, JUPITER  
571/571:   8, 111,  0034779663_1.fit,   1X1,   2007 FEB 26 07:09:03,   4.000,      7m 59s,   24.0 deg, JUPITER  
